comment,label
"He was mean boy, but she's the ""meaner girl""",0
Go and watch a boy boss movie then 😂,0
The outfit Dylan’s wearing while laying on the plants looks a lot like his outfit in maze runner 😂,0
"Rachel McAdams is back baby!! Man, I hope this is good.",0
All I know is Rachel isn't the villain.,0
"Two actors that i appreciate so much no matter what the story is,I'm sat 🤞",0
Woman power! Lol. Will stream it somewhere.,0
Schrodinger's feminist; a woman is both victimized and empowered until something happens and she determines which benefits her the most.,0
Never thought you could make Rachel McAdams look that average.,0
"“Regina George is flawless.” “If Regina George wears army pants and flip flops, everyone wears army pants and flip flops.”",0
"Should have named it SOS, but i'll watch it at some point. Not in a Theatre though...",0
"When do they make friends with volleyball and yell ""WILSOOOON""?",0
I am wanting this for dinner tonight so here I am .. with u I know my family will b happy ty ty ❤,0
I love this I tryed the first and second one they was so good!,0
"I thought traditional cottage pie was lamb ,and shepherds pie was beef?",0
Nice tasty helthy food🌹🌹🌹,0
Man this is the 5th time im back here i just love thos recepe,0
Can i make a double batch of the meat/veg/stock and freeze it?,0
"Hi Adam, I'm working my way through your recipes, done chilli con carie, spaghetti bol (ibthink that was yours) and this week sauage pie, which isnt a pie because theres no pastry, but its good. I make a big batch at weekend and it sees me through the week. Brilliant channel👍",0
"Interesting video watched to the end good recipe I am going to make it and might use just a bit of shin with the mince, not sure what potatoes i have a choice in garden to choose from. thank you",0
"Wow, I have to try this once it gets a bit cooler.",0
Absolutely brilliant. Such a good tip not to add chopped tomatoes or tomato puré. Thanks Adam !,0
"Mmmm!!! Think I’ll try this with beef shin, it looks beautiful. I make it just like yours Adam but never used anything but mince so going to find a nice butcher and get some beef shin, it’s probably expensive but going to give it a go anyway.",0
when i was 16 and my parents got divorced it was just me and my dad so every friday we would make a point of cooking a cottage pie together as an end of week meal so this recipe brings back soooo many memories,0
"Looks great, Adam. I'm just about to put mine in the oven with extra mature cheddar on the top, nom nom👍",0
What temp should oven be? 😊,0
"Hi Adam, your beef that your using in the recipe is leg of beef not shin .though very similar the leg has a lot less conective tissue and will therefore be a lot tenderer and cook quicker.yours david ex butcher (50 + years).",0
"The meat was cheaper than any supermarket , really?",0
From here on I will always do shin beef rather than mince......this is amazing,0
Thank you made this to night for the wife we loved it. 😍,0
How do you get 550 ml from those little pots do you put more than one 🤔😬,0
Other way round mate,0
I really have to look at these older ones from long before I found this channel:),0
What a lovely memory to have,0
Cheese is elite on a cottage pie 😋,0
I'd say around 180°c mate,0
Really? It's what I asked my butcher for. I'll have to have words 😂,0
"Hi again Adam ,the leg of beef that you received instead of the shin was an upgrade.l personaly would not recommend anyone use shin for this type of recipe,so in a backhanded way he did you a favour.good luck with your channel and bon appetit.regards David",0
This just appeared along with your latest one on my home screen. Definitely trying it!,0
Absolutely fabulous! Watched the Gordon Ramsey version.. not a patch on this!,0
"Authentic healthy recipe (leaving out the butter), no heaps of cheese, no garlic, no tomato paste. Just real authentic cottage pie, thanks very much! I know what I'll be having this Sunday dinner.",0
Got my ingredients at the the ready 👌🏻,0
"I'm a new subscriber and I'm working my way though your videos, we seem to cook the same meals but really enjoy your take on them! And i really enjoy doing them your way! 🙌",0
Amen to no tomato products. And double amen on chopping your own beef. This is a great video. Question: adding Brussels sprouts in the mix?,0
"Hey YouTube is showing me your older vids now. Glad to watch, thought I watched all of them. This looked delicious!",0
Would Slartibartfast recommend it ?,0
"That looks lush, and someone who knows his cottage pie from his shepherds pie!",0
"This is a bit off topic but I have found sweetcorn added to stews, mince, pasties, etc.makes quite a difference.",0
Thanks for no tomato 👍🏻Adam x,0
What is the pie dish size that you are using ?,0
That looks amazing - at last ! - -someone cooking without the need for any fancy distracting flavours - -just lovely simple home cooking-thank you!!!!!!,0
I thought with mashed potatoes on top was called Shepards Pie and with cheesy scalloped potatoes it was called Cottage Pie?,0
"Oh my goodness, that looked delicious. The quality of that shin of beef must have been amazing. Big pea-size though! Thank you so much for posting this. I shall certainly give this one a try...👍",0
"Yes, I found a chef that won't add all the fancy ingredients, like wine and garlic. You made a wonderful old fashioned pie as it should be lots of yummy golden mash. Yours is the best recipe.",0
cannot wait to try this!,0
"Bit of cheese in the mash, yum",0
Like your vids. I have already cooked some of your recipes. Important for me to learn KITCHEN ENGLISCH as well. Easy for me to understand you. Best wishes From Reinhard YOUR FAN FROM GERMANY,0
Tweet Gordon and tell him he sucks from me. 🤣,0
Welcome aboard! We're a close little family here. Great to have you 😊,0
Thank you. You could add sprouts if you like. Although sounds odd to me. But you do you 😂😉,0
YouTube suggests more of my content the more you watch. So you must be watching a fair few of my vids. 😂❤️,0
You know it. Everyday 😎,0
Thank you for watching. Have s great day 🙂,0
"Shepherds pie is made with lamb, cottage pie is made with beef. Both have a mash topping, and it must be crisp on top. Both are made in very similar ways, just the meat is different.",0
"Cheers Danny, it's one of my favourite meals 🙂",0
"Barbara, you're a sweetheart. Thank you for the kind words! x",0
"Awesome bud! Glad you enjoy the channel. Also of you have any nice German recipes, send them my way. 🙂",0
Favorite german dish RINDERROULADE many recipies on youtube,0
Look youtube CALLE KOCHT Profi cook explaining art of Grand Mother cooking,0
Who on earth uses tomato based ingredients in a cottage pie. Not in my lifetime. Man having this tomorrow,0
"I have made this today. It was delicious. I learned from you, not using any tomatoes or tomato puree. When beef are well cooked let it shrink & cold, then only fill up the mashed potatoes. Thank you & do you publish recipe book, I'll order for self & send to my friends as gift as well. Greeting from Kuala Lumpur, Malaysia.",0
Looks awesome. Great informative video.,0
I used shin beef and steak mince (more people were having supper than I’d got enough shin for )The results fantastic made a lovely contrast of meaty texture,0
"Ahhh..... Now this was the kinda flavour I was wanting for my mince to be,for a mince beef cobbler. Thanks.",0
Now that's PROPER!,0
Is this what I used to call shepherds pie? Or was I just wrong the whole time?,0
"PS, itemising the ingredients is a real bonus for we novice cooks ~ as we can get in and out of the supermarket with the minimum of fuss.!! Thanks again",0
"Adam ~ my New Year resolution for 2018 was 'no more ready meals'..... followed your Chilli Con Carne recipe (far, far better than M&S!!) and will now try the good old cottage pie. As a 74yr. 1st time cook and am so pleased to have found your videos. Pls. keep them coming ............. Thanks",0
"Might have found the perfect cottage pie recipe, looks delicious, thanks I’ll try this for Sunday lunch.",0
Amazing color. much better than store bought prepackaged.,0
I'm going to give it a go but I'm wondering what shin beef is called in the USA or at least a good substitute for it 🙂,0
"Another great one, I've been telling myself to try this dish, I'm not British so never had a chance and this looks like an awesome way to do it. Thanks Adam",0
"oh god, I haven't had breakfast and this makes me soooo hungryyyyy",0
"We have the same sieve! Probably too excited about that. That pie looks delicious, I would have added some cheese to that mash though because cheese should go in everything =]",0
Not sure why but I add cheese to the top of my mash and grill it for 1 minute or so. But other than that mine is pretty similar but never used shin beef! Think I'll try it. Another great video mate,0
shin beef is one of the best cuts of beef....but Adam i challenge you to use beef cheek instead now that will kick the shin right out of the water. Anyway good job my friend😉,0
Adam mate I think your recipe is very close to how the pie was made back in the day on the farm. The farmer only had what was in his garden and not the more posh ingredients we have access to today.,0
I see it in so many recipes and u don't know why. It's not a Bolognese 🙄,0
"I agree, I don't think they put in tomato paste and garlic back in the day, I know my mother never did we never even had garlic in the house maybe that's why I dislike it so much, it's so potent and smells horrible. No I am not a vampire.lol",0
"Awww thank you so much! you're a sweetheart! I'm just glad you enjoyed it all the way from Malaysia! Thats amazing! Well, hopefully one day yes i'll have a cookbook. happy new year to you and your family :)",0
@Adam_Garratt Happy New Year 20\9 & keep it up!!,0
Nice one David! Glad you enjoyed it pal,0
Shepherds pie is basically the same but is made with lamb. Cottage pie is made with beef.,0
Adams Eats I surely never have used lamb for mine so thanks for the clarification ^-^ I always did mine the same as you did in this video but in the minced beef option. Sometimes I also put edamer cheese on top... Does that still leave it as a cottage pie or is it completely wrong to keep the name for this version?,0
"@Adam_Garratt I once read that if you add tomato to a Cottage Pie it becomes a London Pie. Your recipe is so similar to mine that we could probably each claim to have had it stolen! Although I tend to use mixed herbs for Cottage Pie and Thyme for Shepherds. I have to confess that I have always used good quality mince, though I am tempted to try the shin. What cut of lamb would you use for Shepherds pie? As a child, my mother used to mince up left over roast beef and onion - now that was tasty! I also tend to boil the carrots and celery for about 2-3 minutes in the minimum of unsalted water before adding them to the frying onions. The boiling liquor is then reduced a little if there is too much for the stock - it is surprising just how much flavour goes into the water! One trick I have found for getting a good topping (apart from allowing the mixture to go cold which I also have found to be a must) is to just put a ring of potato around the edge and push it hard against the dish (with a knife) which usually stops or at least significantly reduces leakage at the edge (the main culprit for messing up the oven tray I put it on), and then fill the centre and press that down well. As for the top, I tend to use a fork to create an effect like a ploughed field which not only consolidates the top, it gives lots of nice crispy bits. If I have time (usually the case) I do a kind of basket weave pattern on the top - doesn't taste any better, but looks good, especially if you serve it in individual dishes. Regardless of the pattern I always do a single 'ploughed' ring with a fork around the edge.",0
That's awesome Bert! So glad you enjoy the videos ☺,0
"kevin conroy hope you like it Kevin, let me know how you get on!",0
+SAB8 cheers bud. Yeah store bought cottage pie tends to be bland and boring to me.,0
Thanks,0
Brenda Rigdon You could use any slow cooking meat really. Beef shin is also known as shank too. Chuck would also be a good alternative ☺,0
"Petra Kujundžić you're too sweet Petra. Thank you very much. it's a classic, and very tasty. ☺",0
CountingStars Haha thank you glad you like it ☺,0
I like the way that people can go everywhere they want by just walking it’s super amazing 🎉,0
are u Johnny Huynh sister?,0
"That ""your mom"" voiceover is hilarious 😭",0
Love New York City,0
ur life is just my biggest dream :_( :face-purple-sweating::face-purple-sweating:,0
Thanks for this inspiring video girll <3 lav yaa,0
I don't know english but i see your vlogs to learn English language❤ You are beautiful 🛐,0
Nice,0
I'm learning English and watching your videos for a clear speech,0
Hey girllll i make yt vids and i wanna know do you film with a camera or your phone and also if u do film with a camera how are you not embarked or shy!,0
Guys she really live my dream...i supposed to born there..but god help...i need go there...bc i can't survive here😭💔 btw she is so adorable...and i love it💞,0
i was also looking for video blogs in English,0
I am also here for the same raison 😊 . Good job,0
I've always wanted to go to new york😭,0
"Hi girl, im really need hotel information",0
I like your contenido I just want to learn how to speak English ❤ is my first time here,0
Nice 😍,0
I could watch this all day.,0
"Hiii :3 i'm from Ukraine and I'm learning English, and you blog is very helpfull for me! Carry on!;3",0
"Where the fuck is the actual exploring?? All uve been doing is drinking coffee, eating, and fitting new clothes all day.. wtf?",0
Clear and easy to understand.,0
"omg, I love your video and your vibes girl!!!! ❤",0
"One day I will amend my comment to say that I went to New York, God willing. 🌟",0
God please take me there 😢😢,0
"Okay, I'm learning English by watching your videos. And honestly, I'm loving it <3",0
Cool 🎉,0
wheres is the croissant from!!!!,0
"Masha Allah, very good video, may Allah bless you.❤❤❤❤",0
Heyyy I’m from India 🇮🇳 who like India festivals 😊,0
The sound effects were great.,0
This was very inspiring.,0
Wow 🤩,0
How does it feel to live in my dream,0
I really love what you doing girl🎉,0
girll I love your aesthetic and your channel 😭💘,0
This made me laugh so hard.,0
I'm in love with this video!!!! I feel like I'm the one traveling 🥰,0
"Girl! you make living alone so peaceful , i would be lonely😭😭",0
You're living my dream life,0
This made my day better.,0
This was surprisingly useful.,0
One of the best English velags is for youuuuuuuuu🥺🥺,0
"hello, is it safe to use all the music u use to upload here on youtube?",0
Your bright smile can make anyone's day! 🫶,0
You trying to crack the egg HAHAHAHAJAJA,0
I just discovered you and I have totally fallen in love giiirrrLLL,0
"You’re so cute, and your YouTube video gives off such a warm vibe!",0
"Hi Julia! Let me say that I really like your content — the way you capture your daily life in New York is amazing. The editing is so smooth and the music fits perfectly. I can’t wait to see more from your channel, keep up the amazing work.",0
Love the way you speak. Newbie here,0
it'ssss vibeeeee. But probably you should stop drinking ice coffee when it's cold outside 🤣,0
04/10/25 8:30 pm Connect to my blog,0
dude yes walking feels so cinematic,0
"Great video! Guys can u recommend a safe, affordable hotel in New York please",0
I love Ichiran; it's one of my favorite pork ramen places 🤩❤️‍🔥,0
love,0
New York must have good food there. There are many different cultures and backgrounds there. I like to eat good food.,0
Your editing is so soft and calming 🌿✨”,0
Hi there! Look so happy dear.,0
Wishing this for myself❤,0
"It's obviosly the most interesting vlog i've ever watched. Always put vlogs as a background, but this... So special love it ❤",0
I love my country's America,0
I really wanna be a independent women,0
Where are you getting these people like they're all just low-key great besties vibes ❤,0
Bro... Triple... Who tf says triple r bro indians (like me ) say RRR it's not that hardddd,0
"in the end, he chose a latina baddie, a nice choice",0
"I was surprised with how funny and chill this guy is, legit dude.",0
50 dollars would be nice,0
dude absolutely FUMBLED asta suffers,0
I think we know what his therapy was.,0
last girl and him are a perfect match ngl.,0
WHY ARE ALL.THE GIRLS SO HOTTT!!!,0
That transition was crazy after he said some stuff about himself then he appeared out from behind him😂❤,0
First eliminated was a step down not a glow up,0
this guy is so chill omg,0
Dressed down dating..,0
"30:48 ""damn bro that hit harder than my dad!"" 😅",0
Wow,0
I like that he seems more interested in personality as opposed to looks,0
bro is a stereotype of a “modern” man.,0
asta was so hot bro what 💔,0
7 was a downgrade.,0
The first one looked better on the photo,0
"Few questions - 1.first girl was definitely a glow down. who directed this video? 2. neck tattoo girl, why didnt they do it along her jawline???",0
"The delusion is real, they are all 10s in their own eyes, Glad he picked the most down to earth and feminine girl.",0
Dude is allergic to beauty,0
"There were maybe two girls, the final two, without tattoos. They may have been covered up or hidden.",0
Girl with the spilt tongue and tatoos probably has major trauma she needs to move through,0
"BRUH ALL OF THEM WERE HOTTTTTTTTTTTTTTTTTTTTTTTTT, LIKE TFFFFF my fav was the first and the last also, good choice lad",0
Best video ever” blind dating blind girls by my appearance”,0
is that the guy from sugar crush? the cooking show on netflix?,0
Aysia was the prettiest looking imao,0
"All of them were baddies, but I think he chose the perfect girl for himself lol",0
they all looked better before... OMG..,0
I’d be a bowl of chicken nuggys,0
Alize shoes are fire,0
He really messed up,0
He liked the girl in the red shirt.,0
"What a shame, the girl with the neck tatoo is so pretty.",0
"Also, WHAT THE HECK, ASKING A TEENAGE GIRL WHO THREW AWAY A PULL-UP?!?! That mom should be flayed alive.",0
Y'know what? This guy seems like a sweet gentleman.,0
When it flashed to the train guy I screamedddd,0
I love that girl with white hair omg,0
Why about India 😭🥲🙏,0
"Nr. 7 didn't cheat, she actually got worse looking 😅",0
is he supposed to be a trophy. the naked talking toes are cheating a bit.,0
Lure can I find this guy? 👀 asking for a friend,0
25:46 such a true friend damn,0
But… did he actually go on a date with her??,0
Asta was the hottest in my own opinion but all girls were very beautiful ❤️,0
He seems like a chill guy 💗,0
First girl eliminated was the baddest.,0
Im a straight woman but COME ON MAN ASTA IS HOT,0
They looked like a bunch of homeless behind those curtains,0
I’m sad he’s not still with the girl who was learning to speak Greek.,0
"Considering that tattoos and piercings are red flags for me, I'd say he got rather lucky.",0
Caught my single ass smiling mb for existing tho ✌😔,0
WTF are with these outfits? Clearly I'm too old. That guys pants look like clown wear and that first girls were about the match. Absolutely terrible,0
Split tongue will be sigle for ever lol,0
F for this champ,0
All of them are BUT ASTA IS RIGHT UP MY ALLEY,0
by glowing up don't you mean GROWING up?? what kind of retarded framing is this premise for an episode,0
u gotta be retarded to eliminate the prettiest blond and no the behemoth with tattos first,0
31:19 that’s a both mommy,0
knew he'll choose her since first few minutes ❤️,0
"can i have the 50 im the 13,483rd comment",0
The leg press bit sent me😂😂😂,0
The big ol tidies flashback sent me 😂😂😂,0
these girls were hoes,0
I want an update,0
After he was saying the number 1 and 2 names again he said it wrong and she said asta and I think I heard her say bitch lol mumbling..,0
“And kids that’s how I met your mother”,0
Id honestly say the girl that got elimated first looked better in her photo than she actually does now. Idk maybe im getting old. I miss when people looked like people and not trying to look like they are superficially younger than they are. Why does everyone feel like they gotta be so extra these days. Must be exhausting to feel like you need to change a million things about yourself to be percieved by others differently.,0
"I really hope it works out!! But, the chick who said she gets unsolicited attention from men, over her tongue…lie! You only do some shit like that for attention!!",0
As soon as I saw those cute french pedicured toenails I guessed he'd pick her- I was right!,0
ITS THE TESSALHYDRA,0
I m not sure but I thing hanry is also want to going home . May be he forgot some her memory...and I think he stuck in wormhole ...May be I m wrong ...,0
Wait it’s not the dragon,0
hope I don't see these actors again,0
Hey can I be a random demogorgon,0
BYLER SHIP IS NOT HAPPENING ITS CONFIREMED!,0
I'll prepare my heart for the heartbreak.,0
Boycott stranger things,0
soo uhh why is steve not in the trailer and why is dustin crying.....??,0
I need a 10 min clip of this trailer music . Holy shmoly,0
"So Kali is a horrible addition to the show and you decided to put her in the thumbnail, too? It's rage-baiting at this point.",0
"idk how to feel going to miss Stranger Things!! It’s the show my brother and I both watch 🥰 I love Will and Robin! Also, Delightful Derek.",0
If only it didn't take 10 years to get here.,0
My god this is gonna be so sad someone important is gonna die 100% GET FOOD WATER AND TISSUES,0
If Steve will die I will cry😭,0
Come on duffer brothers.. please do it more season of stranger things..i fully enjoy watching this drama.. everything is perfect.. from storyline..cast.. cameraman.. sounds effect.. visual effects..CGI..all things about it.. perfect..i hope they continue to make a season 6..😊,0
okay i honestly didnt expect the abyss to ACTUALLY come down onto hawkins wtf,0
This is the best show I've ever seen in my life! I can only nitpick on one thing though. Eddie should have played a Dio song instead of Metallica on top of the trailer. It was 1986. Dio was the biggest thing in Metal and Eddie wore a Dio patch on his jacket. I was expecting We Rock not Master of Puppets. I'm out.,0
Bro one of the main characters needs to die if not I’m going to crash out. They need a very sad death,0
Why Dustin is crying…😢omg 😭😭😭,0
Bro i am damn sure that there ia vecan behind hopper on this time - 0:55 those who can see 👇,0
WHERE IS STEVE HARRINGTON 😭,0
Is it time to bet on Ted Wheeler who will actually end this.,0
When the final episode will realase in Netflix,0
Holy s*** the mind flair is back 😢,0
I’m finding this last season so confusing….,0
How the hell they gonna fitt everthing with one episode,0
Where is Steve 😡 why haven't you show him in this trailer,0
0:51 only says one thing in my head Steve dies,0
"Stop milking bro, last 3 episodes were literally fillers",0
"If Steve is dying, I’m dying too. Please Duffers, save him one last time 🤧🤞",0
WAAAAAAAIT I'M NOT READY!!,0
It’s over today,0
Only close to less than 11 hrs to go. We will miss u ST and we will miss you Steve (Hair) Harrington specially 😔,0
steve is gonna die look at dustin someone holding him back if u look at hopper he is wearing the same bag as the person holding him back and who would scream and try to save someone except if there really close so steve is gonna die in a explosion 0:51,0
Yes. Lets end this..,0
"The last 2 episodes have been laughably bad. Meandering, pandering, boring gobbledygook. What the hell happened?",0
One last time I am waiting,0
Plot twist: it was the government experiments that made them gay,0
Can’t believe my childhood is coming to an end.,0
"I swear if anything happens to steve and dustin, imma ball out by crying 😭",0
No Netflix i need more stranger things,0
"0:51, wait that wasn't Ai...",0
IM NOT READY TO SAY GOODBYE😭😭😭,0
Who else is excited for this one,0
First 4 : awesome Next 3: awful Finale : hopefully good,0
Damn bro it’s actually ending tn 😢😔,0
Dustin screaming at 0:51 makes me very concerned for Steve 🥲,0
"Treasure these last few hours of anticipation bc after that, it’s all over. What a fantastic show and to have us all watch at the end of the year 🎊",0
Army coming to upside down Hawkins is pretty worrying. Our party got already many on plate to fight 🥲 Fight with Vecna Fight with Henry's aka Vecna's memory lanes & now memories Fight with demodogs / abyss's monsters Fight with shadow monster Fight with Dr K's Army,0
I never wanna see a serious divided this way again. This was total crap Netflix!,0
"I noticed how the ""sky"" in the upside down is collapsing in 1:05",0
"Season 5 has been rather weak, with WAY too much silly exposition and repeaters of stuff we’ve already seen - so many damn times! And all of the side-characters are irritating as well (I think I’m rooting for VECNA at this point 🤷‍♂️) Praying the final episode brings it, cause they need to do a lot to truly finish STRONG at this point (I write that as a FAN) Crossing fingers 🤞",0
0:49 is hopper’s fail safe,0
"I am tired of this show, just end it already",0
Bro why is dustin crying on the ground bro STEVE NI,0
Literally the whole point brother r u being serious,0
"I wasnt making a point, i was jst pointing it out ​ @LegalNarc5",0
"How long is this finale, it’s better be 2 hours minimum",0
Reminds me of the endgame trailer,0
When is it coming out?,0
i cant belive its going to end tonight........,0
"Yea that scene when dustin is crying is probably steve that got caught up in that explosion, thats my theory",0
"If Steve's beamer doesn't do a full orbit to return to crash into vecna and defeat them, then it would be a bad ending.",0
BTW someone online leaked that Vecna AKA Henry AKA 001 is going to die on the final episode,0
Straight to the comments w this one,0
"This is so sad, bro. I’m really going to miss it. With all its flaws, I’ve always loved this show. Just please give us a good ending.",0
such a cringe show,0
why dustin is crying,0
0:50 Dustin cried:( It’s Steeeeve😢,0
Somebody with the last name Duffer is gonna have lots and lots of explaining to do when this is over because what the actual HELL were they thinking?,0
"Your video was not just informative—it felt like a gentle breeze with a spark of your beautiful soul. I spend my days chasing horizons on quiet trails ️, and my nights wrapped in the embrace of starlit skies, with a campfire whispering stories to the moon. It’s in those moments I feel closest to magic… and souls like yours .",0
I love the smell of campfires.,0
"Each time I go out, I think of something to bring next time. I get the cheapest gear possible, that way if I lose it or it breaks, no big deal & I keep plenty of duct tape handy..",0
"You rock! Git it, girlie!🎉❤😊",0
Really appreciate the way you explained this.,0
I enjoyed watching this video.,0
This video was well worth the watch.,0
I learned something new today.,0
This is really impressive.,0
This clarified a lot for me.,0
This was really well done.,0
I appreciate the clarity of this video.,0
"Straight to the point, well done.",0
Perfectly explained without any confusion.,0
Great effort on this video.,0
I found this really helpful.,0
Very clear and concise explanation.,0
This was so well delivered.,0
This was so well structured.,0
I�m learning so much from you.,0
This was nicely explained.,0
Thanks for this great content.,0
This is what YouTube was made for.,0
Very well put together.,0
This was very well explained.,0
This video was excellent.,0
Great job explaining this.,0
A clear and effective explanation.,0
Very impressive work here.,0
Clear and easy to follow.,0
Very useful and well presented.,0
Appreciate the straightforward approach.,0
Very detailed and informative.,0
This was very informative.,0
"Helpful content, thank you.",0
Very nicely done.,0
I found this video really useful.,0
Really appreciate this upload.,0
This was informative and useful.,0
Appreciate the effort put into this.,0
I understood everything perfectly.,0
The delivery was great.,0
This was excellent content.,0
This made things very clear.,0
The presentation was excellent.,0
Thanks for making this easy to follow.,0
This helped me a lot.,0
This was explained really well.,0
Always enjoy your videos.,0
I’m glad I found this video.,0
Always great content from you.,0
Good job on this video.,0
Thanks for simplifying this topic.,0
This content is very high quality.,0
So glad you uploaded this.,0
Such an easy to follow video.,0
One of the clearest explanations I’ve seen.,0
You make it look so easy.,0
This is high quality content.,0
Always love your videos.,0
The explanation was excellent.,0
"Really good content, keep it up.",0
This was both clear and engaging.,0
This is a solid explanation.,0
Thanks for keeping it simple.,0
This was a great watch.,0
Very well executed video.,0
"Great video, really enjoyed it.",0
One of the best videos I’ve seen.,0
cool 😎😎,0
This was worth watching.,0
Awesome job on this video.,0
Really well presented.,0
This helped me understand the topic better.,0
Very well thought out.,0
Such a useful video to have.,0
Very helpful and informative.,0
You make it look effortless.,0
Audience polls guide creators toward higher-performing ideas,0
Such a great video to watch.,0
One of the most helpful videos I’ve seen.,0
"Good morning from Ovar, Portugal! 🤩",0
"Good morning from Burgas, Bulgaria! It's a sunny morning here, the day of New Year's Eve :) I joined my family for the holiday. We are all Russian expats who had to leave our homeland because we are against the war. I hope the next year will be a peaceful one everywhere. Let's build bridges, not burn them ❤",0
Hello 🎉 from ethiopia sending you love beautiful soul's ❤,0
"Good morning from Canada! I am currently listening at my work desk on the 14th floor of an office building downtown. The sun is rising and streaming beautiful golden rays into my space and I think it will be an amazing day. It is warmer than usual outside today, around -2 degrees celcius and I think I will go for a walk later to stretch my legs. I hope you have a day filled with whimsy and delight!",0
"Good morning from dear old wintery England. Sitting here in the cosy warm, looking out at the bleak sky, snuggling with my 2 cats. It can’t be that bad ;-) I hope you all have a wonderful day x",0
"Good morning from cold and grey little Belgium , i hope you all have a nice day",0
"Good morning from Bethlehem, Palestine. It’s a chilly morning here. My husband is still sleeping and I’m breastfeeding my 7 month old baby to this playlist. The sun occasionally shines through the curtains and my daughter’s little hand is reaching out to touch my face. I hope she will grow up in a peaceful and free Palestine. 😊",0
"good morning peeps! its currently 08.13 am in Bandung, Indonesia. im starting to slowly gain my spark back after the past few weeks of struggles. allowing myself to relax and taking a chance to do activities that lights me up feels great! to anyone reading this right now, i promise you will gain your spark back ;) keep trusting on that",0
"Man, that art is U G L Y. We need good art again! I will even make a painting for you if you want. :)",0
